Code,Name
AFR,Antarctica vessel (Africana)
AG1,Antarctica vessel (Agulhas I)
AG2,Antarctica vessel (Agulhas II)
APH,Airphilsa
ARM,Army
AUN,Antarctica vessel (Unknown)
AVO,Antarctica vessel (Other)
AVR,Antarctica vessel (RSA)
CAP,Caprivi Airways
DEF,SA Defence Force
FAL,Foreign Airline
FED,Philatelic Federation
FOU,Philatelic Foundation
FST,Flitestar
GLD,FDC Gold
KPA,Kempair
KPC,Kemp Kard
KPK,Kemp Kover
KPM,Kemp Maksikard
NAA,Namib Air
NAD,Namib Air (Delivery)
NAM,Namibia Post Office
NAV,Navy
PRC,Private (Ciskei Hand cancelled)
PRV,Private
RSO,Railway Society of SA
SAA,South African Airways
SAM,South African Airways Museum
SAP,South African Police
SAR,SA Railway Services
SAT,SA Transport Services
SHP,Ship Society of SA
SHS,Simonstown Historical Society
SLK,First Day Fabrics (Silk)
SMA,SA Air Force Museum (Anniversary Flights)
SMO,SA Air Force Museum (Original Series)
SMS,SA Air Force Museum (Spesials)
SMW,SA Air Force Museum (World War Series)
SNM,Simonstown Navy Museum
SPO,SA Post Office
UNN,United Nations
WPH,Warner Pharmaceuticals
WWF,World Wildlife Fund
